,eevp,eevp_source,vote_share_trd,trump2016,votes2012,votes2016,expected_votes,state,timestamp,hour_seconds,time_cat,vote_share_rep,vote_share_dem,votes,num_Trump,num_Biden,new_Trump,new_Biden,id,diff,d1_NEW,r_NEW,rabs_NEW,diff_cat,outlier,weird,
2545,99,edison,0,671018,1159971,1194755,1330000,kansas,2020-11-05T00:00:17Z,00:00:17Z,5-Nov,0.567,0.411,1317953,747279.351,541678.683,179.172,129.876,2545,0.156,2.44E-08,0.008808978,0.008808978,high,normal,normal,
1446,94,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-05T00:00:53Z,00:00:53Z,5-Nov,0.5,0.488,4834226,2417113,2359102.288,805,785.68,1446,0.012,3.66E-10,-0.001080253,0.001080253,low,normal,normal,
1944,7,edison,0,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:00:58Z,00:00:58Z,4-Nov,0.637,0.341,230035,146532.295,78441.935,197.425,457.835,1944,0.296,6.54E-07,0.159151346,0.159151346,high,normal,normal,
1945,8,edison,0,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:01:56Z,00:01:56Z,4-Nov,0.639,0.339,235494,150480.666,79832.466,3948.371,1390.531,1945,0.3,9.81E-09,-0.019973846,0.019973846,high,normal,normal,
860,5,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:02:01Z,00:02:01Z,4-Nov,0.564,0.428,560771,316274.844,240009.988,316274.844,240009.988,860,0.136,0.154370463,-8.550361986,8.550361986,low,outlier,normal,
2598,13,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:02:14Z,00:02:14Z,4-Nov,0.504,0.481,296793,149583.672,142757.433,8482.255,11081.258,2598,0.023,2.69E-07,0.106011101,0.106011101,low,normal,normal,
1586,99,edison,0,2089104,3900050,4141445,5025000,georgia,2020-11-07T00:02:40Z,00:02:40Z,7-Nov,0.493,0.494,4970158,2450287.894,2455258.052,5.916,5.928,1586,0.001,5.35E-07,0.015920181,0.015920181,low,normal,normal,
861,7,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:02:42Z,00:02:42Z,4-Nov,0.557,0.434,844914,470617.098,366692.676,154342.254,126682.688,861,0.123,0.006599607,-3.691571622,3.691571622,low,outlier,normal,
532,73,edison,0,4483810,13038547,14237884,16230000,california,2020-11-05T00:02:42Z,00:02:42Z,5-Nov,0.329,0.652,11861061,3902289.069,7733411.772,333.935,661.78,532,0.323,1.41E-07,0.02116387,0.02116387,high,normal,normal,
4123,98,edison,0,2279543,4730984,4824260,5550000,michigan,2020-11-05T00:02:49Z,00:02:49Z,5-Nov,0.482,0.501,5452254,2627986.428,2731579.254,11403.668,44861.286,4123,0.019,0.000418084,1.151225702,1.151225702,low,normal,normal,
6435,86,edison,0,2970733,5742040,6166708,7000000,pennsylvania,2020-11-05T00:02:52Z,00:02:52Z,5-Nov,0.514,0.474,6156210,3164291.94,2918043.54,8928.694,14372.693,6435,0.04,1.71E-06,0.073674137,0.073674137,low,normal,normal,
4829,99,edison,0,279240,484048,501822,605000,montana,2020-11-05T00:02:54Z,00:02:54Z,5-Nov,0.564,0.407,582203,328362.492,236956.621,1133.076,817.663,4829,0.157,1.10E-07,-0.018746276,0.018746276,high,normal,normal,
7725,90,edison,0,1221747,3125516,3316996,4100000,washington,2020-11-05T00:02:55Z,00:02:55Z,5-Nov,0.369,0.607,3431080,1266068.52,2082665.56,29410.407,48379.721,7725,0.238,2.09E-05,0.252191624,0.252191624,high,normal,normal,
862,9,edison,0,4617886,8474179,9501617,11500000,florida,2020-11-04T00:03:26Z,00:03:26Z,4-Nov,0.556,0.435,1004171,558319.076,436814.385,87701.978,70121.709,862,0.121,0.00069791,-2.104410426,2.104410426,low,outlier,normal,
2599,13,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:03:29Z,00:03:29Z,4-Nov,0.508,0.477,300246,152524.968,143217.342,2941.296,459.909,2599,0.031,2.07E-11,0.000913077,0.000913077,low,normal,normal,
1946,8,edison,0,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:03:37Z,00:03:37Z,4-Nov,0.641,0.337,238029,152576.589,80215.773,2095.923,383.307,1946,0.304,5.46E-08,0.046627185,0.046627185,high,normal,normal,
7744,93,edison,0,1221747,3125516,3316996,4100000,washington,2020-11-06T00:03:39Z,00:03:39Z,6-Nov,0.376,0.6,3637253,1367607.128,2182351.8,7653.878,2800.058,7744,0.224,3.01E-05,-0.320042337,0.320042337,high,normal,normal,
7761,93,edison,0,1221747,3125516,3316996,4100000,washington,2020-11-07T00:03:40Z,00:03:40Z,7-Nov,0.382,0.593,3785985,1446246.27,2245089.105,621.514,964.811,7761,0.211,7.43E-07,0.018769353,0.018769353,high,normal,normal,
2600,13,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:04:11Z,00:04:11Z,4-Nov,0.515,0.47,309697,159493.955,145557.59,6968.987,2340.248,2600,0.045,5.87E-07,-0.156277566,0.156277566,low,normal,normal,
2601,13,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:04:27Z,00:04:27Z,4-Nov,0.515,0.469,310420,159866.3,145586.98,372.345,29.39,2601,0.046,4.48E-07,0.131922348,0.131922348,low,normal,normal,
3579,91,edison,0,1090893,3167767,3325046,3725000,massachusetts,2020-11-06T00:05:20Z,00:05:20Z,6-Nov,0.324,0.653,3404294,1102991.256,2223003.982,753.948,1519.531,3579,0.329,2.16E-07,0.027146434,0.027146434,high,normal,normal,
1947,8,edison,0,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:05:26Z,00:05:26Z,4-Nov,0.642,0.336,239508,153764.136,80474.688,1187.547,258.915,1947,0.306,2.25E-07,0.094065239,0.094065239,high,normal,normal,
643,94,edison,0,1202484,2569520,2780247,3325000,colorado,2020-11-06T00:05:38Z,00:05:38Z,6-Nov,0.422,0.552,3120846,1316997.012,1722706.992,11802.918,18531.765,643,0.13,1.45E-06,0.070077986,0.070077986,low,normal,normal,
2602,14,edison,0,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:05:44Z,00:05:44Z,4-Nov,0.52,0.465,316605,164634.6,147221.325,4768.3,1634.345,2602,0.055,8.08E-08,-0.057531945,0.057531945,low,normal,normal,
