eevp,eevp_source,vote_share_trd,trump2016,votes2012,votes2016,expected_votes,state,timestamp,time_cat,vote_share_rep,vote_share_dem,votes,num_Trump,num_Biden,new_Trump,new_Biden
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:23:07Z,4-Nov,0.407,0.585,1053,428.571,616.005,428.571,616.005
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:28:39Z,4-Nov,0.395,0.602,2190,865.05,1318.38,436.479,702.375
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:29:35Z,4-Nov,0.506,0.489,3709,1876.754,1813.701,1011.704,495.321
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:32:46Z,4-Nov,0.52,0.474,4280,2225.6,2028.72,348.846,215.019
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:40:51Z,4-Nov,0.516,0.476,5249,2708.484,2498.524,482.884,469.804
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:41:31Z,4-Nov,0.472,0.52,8971,4234.312,4664.92,1525.828,2166.396
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:42:13Z,4-Nov,0.463,0.53,9234,4275.342,4894.02,41.03,229.1
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:43:04Z,4-Nov,0.439,0.551,10648,4674.472,5867.048,399.13,973.028
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:45:58Z,4-Nov,0.475,0.515,11670,5543.25,6010.05,868.778,143.002
0,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:46:29Z,4-Nov,0.475,0.515,11672,5544.2,6011.08,0.95,1.03
1,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:49:11Z,4-Nov,0.398,0.592,18631,7415.138,11029.552,1870.938,5018.472
1,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:52:02Z,4-Nov,0.406,0.58,21290,8643.74,12348.2,1228.602,1318.648
1,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:55:09Z,4-Nov,0.423,0.564,23626,9993.798,13325.064,1350.058,976.864
1,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:56:07Z,4-Nov,0.452,0.533,30815,13928.38,16424.395,3934.582,3099.331
1,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T01:57:36Z,4-Nov,0.454,0.53,32278,14654.212,17107.34,725.832,682.945
2,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:00:03Z,4-Nov,0.468,0.519,40640,19019.52,21092.16,4365.308,3984.82
2,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:02:35Z,4-Nov,0.462,0.526,57276,26461.512,30127.176,7441.992,9035.016
2,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:02:42Z,4-Nov,0.465,0.523,57720,26839.8,30187.56,378.288,60.384
3,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:03:00Z,4-Nov,0.489,0.499,60973,29815.797,30425.527,2975.997,237.967
3,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:04:16Z,4-Nov,0.491,0.497,61798,30342.818,30713.606,527.021,288.079
3,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:06:06Z,4-Nov,0.498,0.49,64748,32244.504,31726.52,1901.686,1012.914
3,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:08:52Z,4-Nov,0.497,0.49,66834,33216.498,32748.66,971.994,1022.14
4,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:09:29Z,4-Nov,0.538,0.449,87270,46951.26,39184.23,13734.762,6435.57
4,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:09:46Z,4-Nov,0.54,0.447,87819,47422.26,39255.093,471,70.863
4,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:10:50Z,4-Nov,0.501,0.485,96685,48439.185,46892.225,1016.925,7637.132
4,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:12:20Z,4-Nov,0.514,0.473,102521,52695.794,48492.433,4256.609,1600.208
4,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:12:31Z,4-Nov,0.517,0.47,106641,55133.397,50121.27,2437.603,1628.837
5,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:16:36Z,4-Nov,0.522,0.466,110254,57552.588,51378.364,2419.191,1257.094
5,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:16:48Z,4-Nov,0.539,0.449,115261,62125.679,51752.189,4573.091,373.825
5,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:17:24Z,4-Nov,0.544,0.444,117598,63973.312,52213.512,1847.633,461.323
6,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:18:14Z,4-Nov,0.503,0.485,150325,75613.475,72907.625,11640.163,20694.113
7,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:19:55Z,4-Nov,0.489,0.499,167645,81978.405,83654.855,6364.93,10747.23
7,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:22:05Z,4-Nov,0.502,0.487,177093,88900.686,86244.291,6922.281,2589.436
8,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:22:13Z,4-Nov,0.51,0.477,193780,98827.8,92433.06,9927.114,6188.769
8,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:22:55Z,4-Nov,0.523,0.465,200496,104859.408,93230.64,6031.608,797.58
9,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:23:15Z,4-Nov,0.531,0.457,210956,112017.636,96406.892,7158.228,3176.252
9,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:23:54Z,4-Nov,0.54,0.447,218259,117859.86,97561.773,5842.224,1154.881
9,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:25:01Z,4-Nov,0.541,0.447,218829,118386.489,97816.563,526.629,254.79
10,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:26:10Z,4-Nov,0.547,0.44,233304,127617.288,102653.76,9230.799,4837.197
10,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:26:59Z,4-Nov,0.555,0.432,242977,134852.235,104966.064,7234.947,2312.304
11,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:27:21Z,4-Nov,0.56,0.428,252138,141197.28,107915.064,6345.045,2949
11,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:27:48Z,4-Nov,0.559,0.429,255016,142553.944,109401.864,1356.664,1486.8
11,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:28:17Z,4-Nov,0.562,0.425,257678,144815.036,109513.15,2261.092,111.286
11,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:29:00Z,4-Nov,0.568,0.42,264984,150510.912,111293.28,5695.876,1780.13
11,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:31:33Z,4-Nov,0.569,0.419,269473,153330.137,112909.187,2819.225,1615.907
11,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:31:58Z,4-Nov,0.57,0.418,270553,154215.21,113091.154,885.073,181.967
11,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:32:19Z,4-Nov,0.572,0.416,273485,156433.42,113769.76,2218.21,678.606
12,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:32:33Z,4-Nov,0.591,0.397,289656,171186.696,114993.432,14753.276,1223.672
13,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:33:33Z,4-Nov,0.603,0.386,303052,182740.356,116978.072,11553.66,1984.64
13,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:33:39Z,4-Nov,0.6,0.388,307778,184666.8,119417.864,1926.444,2439.792
13,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:34:46Z,4-Nov,0.602,0.386,310028,186636.856,119670.808,1970.056,252.944
13,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:35:38Z,4-Nov,0.605,0.384,316226,191316.73,121430.784,4679.874,1759.976
15,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:35:52Z,4-Nov,0.568,0.42,351230,199498.64,147516.6,8181.91,26085.816
16,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:38:15Z,4-Nov,0.569,0.419,382216,217480.904,160148.504,17982.264,12631.904
16,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:38:29Z,4-Nov,0.573,0.414,387164,221844.972,160285.896,4364.068,137.392
16,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:38:46Z,4-Nov,0.573,0.415,388800,222782.4,161352,937.428,1066.104
17,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:39:23Z,4-Nov,0.578,0.41,394235,227867.83,161636.35,5085.43,284.35
17,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:39:35Z,4-Nov,0.578,0.41,398903,230565.934,163550.23,2698.104,1913.88
17,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:40:43Z,4-Nov,0.578,0.41,401116,231845.048,164457.56,1279.114,907.33
17,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:42:18Z,4-Nov,0.579,0.409,402460,233024.34,164606.14,1179.292,148.58
17,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:43:53Z,4-Nov,0.581,0.407,406849,236379.269,165587.543,3354.929,981.403
18,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:45:28Z,4-Nov,0.57,0.419,422048,240567.36,176838.112,4188.091,11250.569
18,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:45:43Z,4-Nov,0.571,0.417,426538,243553.198,177866.346,2985.838,1028.234
19,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:45:54Z,4-Nov,0.582,0.406,440871,256586.922,178993.626,13033.724,1127.28
19,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:50:20Z,4-Nov,0.586,0.402,452145,264956.97,181762.29,8370.048,2768.664
19,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:50:58Z,4-Nov,0.587,0.401,454854,266999.298,182396.454,2042.328,634.164
19,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:51:56Z,4-Nov,0.587,0.401,459786,269894.382,184374.186,2895.084,1977.732
20,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:52:39Z,4-Nov,0.593,0.395,473200,280607.6,186914,10713.218,2539.814
20,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:52:42Z,4-Nov,0.596,0.392,480531,286396.476,188368.152,5788.876,1454.152
22,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:54:26Z,4-Nov,0.592,0.396,514594,304639.648,203779.224,18243.172,15411.072
22,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:55:57Z,4-Nov,0.592,0.396,516083,305521.136,204368.868,881.488,589.644
23,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:56:15Z,4-Nov,0.595,0.393,554303,329810.285,217841.079,24289.149,13472.211
24,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:56:28Z,4-Nov,0.597,0.391,566449,338170.053,221481.559,8359.768,3640.48
24,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:57:53Z,4-Nov,0.594,0.394,573225,340495.65,225850.65,2325.597,4369.091
25,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:58:08Z,4-Nov,0.595,0.393,583921,347432.995,229480.953,6937.345,3630.303
25,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:58:42Z,4-Nov,0.592,0.396,589136,348768.512,233297.856,1335.517,3816.903
25,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T02:59:22Z,4-Nov,0.592,0.396,590341,349481.872,233775.036,713.36,477.18
25,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T03:01:01Z,4-Nov,0.592,0.396,593003,351057.776,234829.188,1575.904,1054.152
25,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T03:03:29Z,4-Nov,0.598,0.39,605794,362264.812,236259.66,11207.036,1430.472
27,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T03:06:21Z,4-Nov,0.607,0.381,635162,385543.334,241996.722,23278.522,5737.062
27,edison,0,1318255,2074338,2123372,2300000,alabama,2020-11-04T03:06:59Z,4-Nov,0.606,0.382,642315,389242.89,245364.33,3699.556,3367.608
