id,eevp,eevp_source,trump2016,votes2012,votes2016,expected_votes,state,timestamp,weird_timestamps,hour_seconds,mail_in,time_cat,votes,vote_share_rep,vote_share_dem,absolute_diff_in_percent_vote_share,cum_num_Trump,cum_num_Biden,new_Trump_votes_added,new_Biden_votes_added,d1_NEW_votes,r_NEW_votes_added,rabs_NEW,diff_cat,outlier_new,d1_num,r_num,rabs_num,outlier_num
2545,99,edison,671018,1159971,1194755,1330000,kansas,2020-11-05T00:00:17Z,normal,00:00:17Z,overnight,5-Nov,1317953,0.567,0.411,0.156,747279.351,541678.683,179.172,129.876,2.44E-08,0.008808978,0.008808978,high,normal,0.000158016,-0.700690899,0.700690899,normal
1446,94,edison,2089104,3900050,4141445,5025000,georgia,2020-11-05T00:00:53Z,normal,00:00:53Z,overnight,5-Nov,4834226,0.5,0.488,0.012,2417113,2359102.288,805,785.68,3.66E-10,-0.001080253,0.001080253,low,normal,9.02E-05,-0.528264641,0.528264641,normal
1944,7,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:00:58Z,normal,00:00:58Z,overnight,4-Nov,230035,0.637,0.341,0.296,146532.295,78441.935,197.425,457.835,6.54E-07,0.159151346,0.159151346,high,normal,6.83E-07,-0.135072156,0.135072156,normal
1945,8,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:01:56Z,normal,00:01:56Z,overnight,4-Nov,235494,0.639,0.339,0.3,150480.666,79832.466,3948.371,1390.531,9.81E-09,-0.019973846,0.019973846,high,normal,7.25E-07,-0.13940783,0.13940783,normal
860,5,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:02:01Z,normal,00:02:01Z,overnight,4-Nov,560771,0.564,0.428,0.136,316274.844,240009.988,316274.844,240009.988,0.154370463,-8.550361986,8.550361986,low,outlier,8.06E-07,-0.155376153,0.155376153,normal
2598,13,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:02:14Z,normal,00:02:14Z,overnight,4-Nov,296793,0.504,0.481,0.023,149583.672,142757.433,8482.255,11081.258,2.69E-07,0.106011101,0.106011101,low,normal,4.64E-08,-0.035232304,0.035232304,normal
1586,99,edison,2089104,3900050,4141445,5025000,georgia,2020-11-07T00:02:40Z,normal,00:02:40Z,overnight,7-Nov,4970158,0.493,0.494,0.001,2450287.894,2455258.052,5.916,5.928,5.35E-07,0.015920181,0.015920181,low,normal,0.000411512,-0.441329354,0.441329354,normal
532,73,edison,4483810,13038547,14237884,16230000,california,2020-11-05T00:02:42Z,normal,00:02:42Z,overnight,5-Nov,11861061,0.329,0.652,0.323,3902289.069,7733411.772,333.935,661.78,1.41E-07,0.02116387,0.02116387,high,normal,0.012677782,5.76309282,5.76309282,outlier
861,7,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:02:42Z,normal,00:02:42Z,overnight,4-Nov,844914,0.557,0.434,0.123,470617.098,366692.676,154342.254,126682.688,0.006599607,-3.691571622,3.691571622,low,outlier,1.30E-06,-0.206841299,0.206841299,normal
4123,98,edison,2279543,4730984,4824260,5550000,michigan,2020-11-05T00:02:49Z,normal,00:02:49Z,overnight,5-Nov,5452254,0.482,0.501,0.019,2627986.428,2731579.254,11403.668,44861.286,0.000418084,1.151225702,1.151225702,low,normal,2.45E-05,-0.273016539,0.273016539,normal
6435,86,edison,2970733,5742040,6166708,7000000,pennsylvania,2020-11-05T00:02:52Z,normal,00:02:52Z,overnight,5-Nov,6156210,0.514,0.474,0.04,3164291.94,2918043.54,8928.694,14372.693,1.71E-06,0.073674137,0.073674137,low,normal,0.000259577,-0.866431375,0.866431375,normal
4829,99,edison,279240,484048,501822,605000,montana,2020-11-05T00:02:54Z,normal,00:02:54Z,overnight,5-Nov,582203,0.564,0.407,0.157,328362.492,236956.621,1133.076,817.663,1.10E-07,-0.018746276,0.018746276,high,normal,8.21E-05,-0.497005006,0.497005006,normal
7725,90,edison,1221747,3125516,3316996,4100000,washington,2020-11-05T00:02:55Z,normal,00:02:55Z,overnight,5-Nov,3431080,0.369,0.607,0.238,1266068.52,2082665.56,29410.407,48379.721,2.09E-05,0.252191624,0.252191624,high,normal,0.000282585,0.94732566,0.94732566,normal
862,9,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:03:26Z,normal,00:03:26Z,overnight,4-Nov,1004171,0.556,0.435,0.121,558319.076,436814.385,87701.978,70121.709,0.00069791,-2.104410426,2.104410426,low,outlier,1.65E-06,-0.239125347,0.239125347,normal
2599,13,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:03:29Z,normal,00:03:29Z,overnight,4-Nov,300246,0.508,0.477,0.031,152524.968,143217.342,2941.296,459.909,2.07E-11,0.000913077,0.000913077,low,normal,5.79E-08,-0.039401923,0.039401923,normal
1946,8,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:03:37Z,normal,00:03:37Z,overnight,4-Nov,238029,0.641,0.337,0.304,152576.589,80215.773,2095.923,383.307,5.46E-08,0.046627185,0.046627185,high,normal,7.55E-07,-0.142288325,0.142288325,normal
7744,93,edison,1221747,3125516,3316996,4100000,washington,2020-11-06T00:03:39Z,normal,00:03:39Z,overnight,6-Nov,3637253,0.376,0.6,0.224,1367607.128,2182351.8,7653.878,2800.058,3.01E-05,-0.320042337,0.320042337,high,normal,0.000467845,1.258688017,1.258688017,normal
7761,93,edison,1221747,3125516,3316996,4100000,washington,2020-11-07T00:03:40Z,normal,00:03:40Z,overnight,7-Nov,3785985,0.382,0.593,0.211,1446246.27,2245089.105,621.514,964.811,7.43E-07,0.018769353,0.018769353,high,normal,0.001724996,0.903546021,0.903546021,outlier
2600,13,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:04:11Z,normal,00:04:11Z,overnight,4-Nov,309697,0.515,0.47,0.045,159493.955,145557.59,6968.987,2340.248,5.87E-07,-0.156277566,0.156277566,low,normal,8.28E-08,-0.047240699,0.047240699,normal
2601,13,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:04:27Z,normal,00:04:27Z,overnight,4-Nov,310420,0.515,0.469,0.046,159866.3,145586.98,372.345,29.39,4.48E-07,0.131922348,0.131922348,low,normal,8.48E-08,-0.047815583,0.047815583,normal
3579,91,edison,1090893,3167767,3325046,3725000,massachusetts,2020-11-06T00:05:20Z,normal,00:05:20Z,overnight,6-Nov,3404294,0.324,0.653,0.329,1102991.256,2223003.982,753.948,1519.531,2.16E-07,0.027146434,0.027146434,high,normal,0.000933761,1.768069339,1.768069339,outlier
1947,8,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:05:26Z,normal,00:05:26Z,overnight,4-Nov,239508,0.642,0.336,0.306,153764.136,80474.688,1187.547,258.915,2.25E-07,0.094065239,0.094065239,high,normal,7.71E-07,-0.143852313,0.143852313,normal
643,94,edison,1202484,2569520,2780247,3325000,colorado,2020-11-06T00:05:38Z,normal,00:05:38Z,overnight,6-Nov,3120846,0.422,0.552,0.13,1316997.012,1722706.992,11802.918,18531.765,1.45E-06,0.070077986,0.070077986,low,normal,0.000103964,0.59282716,0.59282716,normal
863,12,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:05:44Z,normal,00:05:44Z,overnight,4-Nov,1457441,0.524,0.467,0.057,763699.084,680624.947,205380.008,243810.562,0.003307225,-1.951645857,1.951645857,low,outlier,8.95E-07,-0.184848146,0.184848146,normal
2602,14,edison,1202971,1797212,1924149,2200000,kentucky,2020-11-04T00:05:44Z,normal,00:05:44Z,overnight,4-Nov,316605,0.52,0.465,0.055,164634.6,147221.325,4768.3,1634.345,8.08E-08,-0.057531945,0.057531945,low,normal,1.04E-07,-0.053124981,0.053124981,normal
3580,91,edison,1090893,3167767,3325046,3725000,massachusetts,2020-11-06T00:06:18Z,normal,00:06:18Z,overnight,6-Nov,3406707,0.324,0.653,0.329,1103773.068,2224579.671,781.812,1575.689,2.27E-07,0.027785292,0.027785292,high,normal,0.000935057,1.769333546,1.769333546,outlier
4830,99,edison,279240,484048,501822,605000,montana,2020-11-05T00:06:41Z,normal,00:06:41Z,overnight,5-Nov,583597,0.563,0.408,0.155,328565.111,238107.576,202.619,1150.955,7.33E-07,0.048329303,0.048329303,high,normal,8.16E-05,-0.495464547,0.495464547,normal
864,13,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:07:05Z,normal,00:07:05Z,overnight,4-Nov,1515932,0.53,0.461,0.069,803443.96,698844.652,39744.876,18219.705,8.73E-05,-1.412406339,1.412406339,low,normal,1.27E-06,-0.221600834,0.221600834,normal
7500,0,edison,1769443,3854489,3982752,4430000,virginia,2020-11-04T00:07:32Z,normal,00:07:32Z,overnight,4-Nov,2349,0.533,0.461,0.072,1252.017,1082.889,1252.017,1082.889,3.87E-07,0.123300961,0.123300961,low,normal,1.38E-08,-0.018281451,0.018281451,normal
1948,8,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:07:41Z,normal,00:07:41Z,overnight,4-Nov,241340,0.642,0.335,0.307,154940.28,80848.9,1176.144,374.212,2.51E-07,0.099334607,0.099334607,high,normal,7.85E-07,-0.145209095,0.145209095,normal
865,13,edison,4617886,8474179,9501617,11500000,florida,2020-11-04T00:07:48Z,normal,00:07:48Z,overnight,4-Nov,1516751,0.53,0.461,0.069,803878.03,699222.211,434.07,377.559,5.21E-07,0.14228618,0.14228618,low,normal,1.27E-06,-0.221710855,0.221710855,normal
5180,77,edison,345790,710972,744296,805000,new-hampshire,2020-11-05T00:07:58Z,normal,00:07:58Z,overnight,5-Nov,664781,0.452,0.528,0.076,300481.012,351004.368,-76.787,685.344,6.60E-07,0.045826272,0.045826272,low,normal,2.32E-05,-0.264068563,0.264068563,normal
1949,8,edison,1557286,2624534,2757828,3070000,indiana,2020-11-04T00:08:06Z,normal,00:08:06Z,overnight,4-Nov,242475,0.643,0.335,0.308,155911.425,81229.125,971.145,380.225,3.17E-07,0.111403547,0.111403547,high,normal,7.95E-07,-0.146213154,0.146213154,normal
